column 1	Chemical Formula
INDOLE_PYRUVATE	C11H8NO3
INOSINE	C10H12N4O5
INOSITOL-1-3-4-TRIPHOSPHATE	C6H9O15P3
INOSITOL-1-4-5-TRISPHOSPHATE	C6H9O15P3
INOSITOL-1-4-BISPHOSPHATE	C6H10O12P2
INOSITOL-1456-TETRAKISPHOSPHATE	C6H8O18P4
ISOBUTYRYL-COA	C25H38N7O17P3S
ISOCHORISMATE	C10H8O6
ISOVALERYL-COA	C26H40N7O17P3S
K+	K
KDO-8P	C8H12O11P
L-1-LYSOPHOSPHATIDATE	C21H39O7P
L-ALPHA-ALANINE	C3H7NO2
L-ARGININO-SUCCINATE	C10H17N4O6
L-ASPARTATE	C4H6NO4
L-ASPARTATE-SEMIALDEHYDE	C4H7NO3
L-BETA-ASPARTYL-P	C4H6NO7P
L-CITRULLINE	C6H13N3O3
L-CYSTATHIONINE	C7H14N2O4S
L-DEHYDRO-ASCORBATE	C6H5O6
L-DELTA1-PYRROLINE_5-CARBOXYLATE	C5H6NO2
L-DIHYDROXY-PHENYLALANINE	C9H11NO4
L-GAMMA-GLUTAMYLCYSTEINE	C8H13N2O5S
L-GLUTAMATE-5-P	C5H8NO7P
L-GLUTAMATE_GAMMA-SEMIALDEHYDE	C5H9NO3
L-GULONO-1-4-LACTONE	C6H10O6
L-HISTIDINOL-P	C6H11N3O4P
