Reaction	Genes of a reaction
RXN-13519	SOBIC.002G396700 // SOBIC.002G395000 // SOBIC.002G356400 // SOBIC.002G308300 // SOBIC.002G246200 // SOBIC.002G149550 // SOBIC.K031300 // SOBIC.001G392800 // SOBIC.001G251750 // SOBIC.001G230050 // SOBIC.001G134200 // SOBIC.001G115700 // SOBIC.001G519000 // SOBIC.001G473400 // SOBIC.001G282500 // SOBIC.001G073600 // SOBIC.007G133500 // SOBIC.001G164350 // SOBIC.007G211500 // SOBIC.007G168400 // SOBIC.007G134900 // SOBIC.004G155100 // SOBIC.004G042000 // SOBIC.004G249200 // SOBIC.004G344800 // SOBIC.004G166400 // SOBIC.004G041900 // SOBIC.K032350 // SOBIC.005G044600 // SOBIC.009G209400 // SOBIC.009G191400 // SOBIC.009G095720 // SOBIC.009G176000 // SOBIC.003G429000 // SOBIC.003G286200 // SOBIC.003G279200 // SOBIC.003G173200 // SOBIC.003G429300 // SOBIC.003G322300 // SOBIC.003G172900 // SOBIC.003G429200 // SOBIC.003G296800 // SOBIC.003G172966 // SOBIC.010G098800 // SOBIC.003G170300 // SOBIC.002G007000 // SOBIC.001G074700 // SOBIC.004G303466 // SOBIC.009G251600 // SOBIC.003G218400 // SOBIC.010G032600
RXN-14455	SOBIC.002G380400 // SOBIC.006G173800 // SOBIC.006G173700 // SOBIC.001G352200 // SOBIC.007G225000 // SOBIC.004G057400 // SOBIC.004G079900 // SOBIC.010G220600
RXN-9615	SOBIC.009G168700 // SOBIC.003G400332 // SOBIC.003G370400
RXN0-5205	SOBIC.002G083000 // SOBIC.002G083100 // SOBIC.010G250900
ABC-27-RXN	SOBIC.002G116100 // SOBIC.006G026800 // SOBIC.006G097400 // SOBIC.006G027300 // SOBIC.006G026900 // SOBIC.001G502100 // SOBIC.001G234900 // SOBIC.001G234800 // SOBIC.001G513400 // SOBIC.001G502000 // SOBIC.001G428500 // SOBIC.007G164400 // SOBIC.004G310300 // SOBIC.003G243400 // SOBIC.010G246200 // SOBIC.010G080900
1.14.19.1-RXN	SOBIC.008G003200 // SOBIC.008G002800 // SOBIC.005G002700 // SOBIC.005G002800
1.5.1.8-RXN	SOBIC.004G321800 // SOBIC.003G248700
3.6.3.37-RXN	SOBIC.007G162400 // SOBIC.009G122300 // SOBIC.003G092800
ABC-34-RXN	SOBIC.006G173000 // SOBIC.007G045500 // SOBIC.004G298000 // SOBIC.004G290900
ABC-70-RXN	SOBIC.002G131500
D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN	SOBIC.002G058500 // SOBIC.002G042400 // SOBIC.006G056800
NITRITE-REDUCTASE-CYTOCHROME-RXN	SOBIC.002G296900 // SOBIC.002G297000 // SOBIC.006G282000 // SOBIC.003G380300
RXN-12876	SOBIC.005G031200 // SOBIC.005G031000
RXN-13183	SOBIC.005G031200 // SOBIC.005G031000
RXN-14646	SOBIC.010G166800 // SOBIC.010G166500
RXN-14647	SOBIC.010G166800 // SOBIC.010G166500
RXN-14648	SOBIC.010G166800 // SOBIC.010G166500
RXN-14649	SOBIC.010G166800 // SOBIC.010G166500
RXN-14650	SOBIC.010G166800 // SOBIC.010G166500
RXN-14651	SOBIC.010G166800 // SOBIC.010G166500
RXN-14652	SOBIC.010G166800 // SOBIC.010G166500
RXN-15597	SOBIC.006G159600 // SOBIC.001G273800 // SOBIC.001G201100 // SOBIC.001G113700 // SOBIC.007G117800 // SOBIC.004G303200 // SOBIC.K030000
RXN-15815	SOBIC.002G007000 // SOBIC.001G074700 // SOBIC.004G303466 // SOBIC.009G251600 // SOBIC.003G218400 // SOBIC.010G032600 // SOBIC.006G058900 // SOBIC.007G171500 // SOBIC.004G342100 // SOBIC.004G159000 // SOBIC.003G440600 // SOBIC.003G034900
RXN-16380	
RXN-17757	SOBIC.002G042400 // SOBIC.006G056800
RXN-19380	SOBIC.004G345900
RXN-19772	SOBIC.002G033400 // SOBIC.001G067100 // SOBIC.003G431700 // SOBIC.010G005500
RXN-9601	SOBIC.002G045000 // SOBIC.004G260800 // SOBIC.004G260600
RXN-9623	SOBIC.006G247200 // SOBIC.006G247300 // SOBIC.008G010800 // SOBIC.005G054900 // SOBIC.005G020300 // SOBIC.005G156100 // SOBIC.005G033100 // SOBIC.009G031400 // SOBIC.003G242000 // SOBIC.003G258200 // SOBIC.010G045500 // SOBIC.010G045400
RXN0-1021	SOBIC.006G047900 // SOBIC.001G484200 // SOBIC.001G440000 // SOBIC.001G042200 // SOBIC.004G017900 // SOBIC.004G002100 // SOBIC.004G359400 // SOBIC.004G088400 // SOBIC.009G210600 // SOBIC.003G404500 // SOBIC.010G009400 // SOBIC.010G096100
RXN0-5245	SOBIC.002G185100 // SOBIC.002G149000 // SOBIC.002G028700 // SOBIC.001G206700 // SOBIC.007G023400 // SOBIC.001G072000 // SOBIC.010G015200 // SOBIC.010G031000
RXN0-5248	SOBIC.002G396700 // SOBIC.002G395000 // SOBIC.002G356400 // SOBIC.002G308300 // SOBIC.002G246200 // SOBIC.002G149550 // SOBIC.K031300 // SOBIC.001G392800 // SOBIC.001G251750 // SOBIC.001G230050 // SOBIC.001G134200 // SOBIC.001G115700 // SOBIC.001G519000 // SOBIC.001G473400 // SOBIC.001G282500 // SOBIC.001G073600 // SOBIC.007G133500 // SOBIC.001G164350 // SOBIC.007G211500 // SOBIC.007G168400 // SOBIC.007G134900 // SOBIC.004G155100 // SOBIC.004G042000 // SOBIC.004G249200 // SOBIC.004G344800 // SOBIC.004G166400 // SOBIC.004G041900 // SOBIC.K032350 // SOBIC.005G044600 // SOBIC.009G209400 // SOBIC.009G191400 // SOBIC.009G095720 // SOBIC.009G176000 // SOBIC.003G429000 // SOBIC.003G286200 // SOBIC.003G279200 // SOBIC.003G173200 // SOBIC.003G429300 // SOBIC.003G322300 // SOBIC.003G172900 // SOBIC.003G429200 // SOBIC.003G296800 // SOBIC.003G172966 // SOBIC.010G098800 // SOBIC.003G170300 // SOBIC.002G340600 // SOBIC.007G035700 // SOBIC.003G343500 // SOBIC.003G317600 // SOBIC.010G235000 // SOBIC.010G083500 // SOBIC.003G036500 // SOBIC.003G094000
RXN0-5265	SOBIC.002G007000 // SOBIC.001G074700 // SOBIC.004G303466 // SOBIC.009G251600 // SOBIC.003G218400 // SOBIC.010G032600 // SOBIC.002G004000 // SOBIC.002G159100 // SOBIC.006G151100 // SOBIC.006G151001 // SOBIC.001G276500 // SOBIC.001G299900 // SOBIC.007G207800 // SOBIC.007G145901 // SOBIC.004G222700 // SOBIC.004G191200 // SOBIC.008G131700 // SOBIC.008G102466 // SOBIC.008G065000 // SOBIC.009G191300 // SOBIC.003G313000 // SOBIC.003G395800 // SOBIC.003G328200 // SOBIC.003G221700 // SOBIC.003G172200 // SOBIC.003G169100 // SOBIC.003G070900 // SOBIC.003G172300 // SOBIC.010G241000 // SOBIC.010G139200 // SOBIC.006G258800 // SOBIC.006G258700 // SOBIC.006G203000 // SOBIC.006G202600 // SOBIC.006G203100 // SOBIC.006G202500 // SOBIC.004G270500
RXN1F-152	SOBIC.006G188200
RXNQT-4150	
TRANS-RXN-131	
TRANS-RXN-178	SOBIC.002G380400 // SOBIC.001G484400 // SOBIC.001G352200 // SOBIC.007G225000 // SOBIC.010G240500
TRANS-RXN-203	SOBIC.002G294000
TRANS-RXN-205	SOBIC.002G294000
TRANS-RXN-228	
TRANS-RXN-229	
TRANS-RXN-328	SOBIC.001G382800 // SOBIC.009G131300
TRANS-RXN-346	SOBIC.007G028600 // SOBIC.003G210000
TRANS-RXN-370	SOBIC.004G333900 // SOBIC.004G068300 // SOBIC.008G157200 // SOBIC.009G052400 // SOBIC.003G155000 // SOBIC.010G114000 // SOBIC.010G205500 // SOBIC.010G060600
TRANS-RXN-373	
TRANS-RXN-374	
TRANS-RXN-395	SOBIC.002G198600 // SOBIC.007G223500 // SOBIC.003G433900 // SOBIC.010G201266
TRANS-RXN-399	
TRANS-RXN-400	
TRANS-RXN0-162	SOBIC.006G223700 // SOBIC.006G223500 // SOBIC.001G413000 // SOBIC.001G383300
TRANS-RXN0-444	
TRANS-RXN0-570	
TRANS-RXN4LZ-42	
TRANS-RXN4LZ-6860	
TRANS-RXN4LZ-6867	
TRANS-RXN4LZ-7	
TRANS-RXN4LZ-7041	
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	
UDPNACETYLGLUCOSAMACYLTRANS-RXN	
